p;ingresopcf;housingQ;Wlocation;ToiletDrain;ToiletShare;HHschooling;Wsource;ToiletFacility;children;OlderAdults;ActiveMembers;Overcrowding;WorkingHours;bToiletLoc;Hlandfill;Hfloodplain;Hshanty;kitchen;laundry;garage;bCookingFuel;MonetaryAids;GoodsAids;OtherAids;HHgender;MedicalCov;HHemployed;pondera;bWlocation;iv3;biv3;iv4;iv4new;biv5;bWsource;ToiletLoc;bToiletFacility;CookingFuel;bToiletShare
0;12350;1;1;1;1;4;1;1;0;2;0;1;36;1;1;1;1;1;0;0;1;1;1;1;0;1;1;388;1;1;1;1;1;1;1;1;1;1;1
1;2333.33;1;1;1;1;2;1;1;1;0;2;1;40;1;1;1;1;1;0;0;1;1;1;1;0;1;1;119;1;1;1;1;1;1;1;1;1;1;1
0;6350;3;1;2;1;2;1;1;0;1;1;0.67;0;1;1;1;1;1;0;0;0;1;1;1;0;1;0;403;1;2;0;4;4;0;1;1;1;2;1
0;5225;1;2;2;1;2;1;2;0;0;4;2;30;1;1;1;1;1;1;1;1;0;1;1;0;0;1;403;0;1;1;2;2;1;1;1;0;1;1
0;7500;1;1;1;1;4;2;1;0;2;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;403;1;1;1;3;3;1;0;1;1;1;1
1;1833.33;2;1;2;1;2;1;1;0;1;2;0.75;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;252;1;2;0;4;4;1;1;1;1;2;1
1;2666.67;3;1;1;1;3;1;1;1;0;2;1.5;0;1;1;1;1;1;0;0;0;1;1;1;1;1;0;69;1;2;0;4;4;0;1;1;1;2;1
0;12000;1;1;1;1;2;1;1;0;1;0;0.33;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;440;1;1;1;9;9;1;1;1;1;1;1
0;12600;1;1;1;1;2;1;1;0;1;0;0.5;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;440;1;1;1;1;1;1;1;1;1;1;1
0;5900;1;1;1;1;4;1;1;0;2;0;0.5;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;441;1;1;1;2;2;1;1;1;1;1;1
0;9125;1;1;1;1;5;1;1;1;0;3;1.33;45;1;1;1;1;1;1;0;1;1;1;1;0;1;1;385;1;1;1;2;2;1;1;1;1;1;1
0;7500;1;1;1;1;6;1;1;0;0;4;1.33;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;453;1;1;1;1;1;1;1;1;1;1;1
0;27500;1;1;1;1;6;1;1;0;0;2;0.29;40;1;1;1;1;1;1;1;1;1;1;1;0;1;1;268;1;1;1;2;2;1;1;1;1;1;1
0;6000;2;1;1;1;1;1;1;0;0;2;1;40;1;1;1;1;1;0;1;1;1;1;1;0;1;1;316;1;1;1;3;3;0;1;1;1;1;1
0;18666.7;1;1;1;1;3;1;1;0;1;2;0.75;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;316;1;1;1;3;3;1;1;1;1;1;1
